JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JA9171;MS15;2007-01-16;2007-03-22;2007-03-22;
JA9181;MS05;2006-09-04;2006-08-25;2006-08-25;
JP9177;MS15;2007-01-29;2007-03-27;2007-03-28;
JP9178;MS11;2006-12-18;2007-03-12;2007-03-12;
JP9179;MS05;2006-09-14;2006-08-30;2006-08-30;
JP9179;MS15;2007-01-29;2007-03-09;2007-03-23;
JP9180;MS13;2007-01-01;2007-02-16;2007-02-16;
JP9180;MS10;2006-11-17;2006-10-26;2006-10-26;
JP9180;MS15;2007-01-15;2007-03-29;2007-03-31;
JP9189;MS18;2006-12-18;2006-10-31;2006-10-31;
JP9191;MS13;2007-04-09;2007-03-21;2007-03-21;
JP9201;MS13;2007-01-01;2007-03-29;2007-03-29;
JA9172;MS18;2007-09-04;2008-09-26;2008-09-26;
JA9172;MS13;2007-09-18;2008-10-17;2008-10-17;
JA9172;MS15;2007-10-02;2009-05-29;2009-05-29;
JA9172;MS10;2007-07-24;2007-06-29;2007-06-29;
JA9182;MS13;2007-05-14;2007-03-29;2007-03-29;
JA9182;MS05;2006-10-20;2006-11-03;2006-11-03;
JA9183;MS11;2007-04-02;2008-05-30;2008-05-30;
JA9183;MS10;2007-03-19;2008-02-26;2008-02-29;
JA9184;MS15;2007-05-28;2007-09-06;2007-09-06;
JA9184;MS10;2007-03-19;2006-12-22;2006-12-22;
JA9184;MS11;2007-04-02;2007-06-30;2007-06-30;
JS9179;MS11;2005-01-10;2005-01-10;2005-01-10;
JS9179;MS18;2005-01-24;2005-01-24;2005-01-24;
JS9180;MS15;2005-06-10;2005-06-10;2005-06-10;
JS9180;MS13;2005-04-22;2005-04-22;2005-04-22;
JS9180;MS10;2005-01-28;2005-01-28;2005-01-28;
JS9180;MS18;2005-02-21;2005-02-21;2005-02-21;
JS9183;MS13;2005-07-06;2005-07-06;2005-07-06;
JS9183;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9183;MS10;2005-06-10;2005-06-10;2005-06-10;
JS9183;MS11;2005-06-17;2005-06-17;2005-06-17;
JS9184;MS13;2005-04-06;2005-04-06;2005-04-06;
JS9184;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9185;MS13;2005-04-22;2005-04-22;2005-04-22;
JM9009;MS11;2005-07-01;2005-07-01;2005-07-01;
JM9009;MS18;2005-09-09;2005-09-09;2005-09-09;
JM9009;MS15;2005-09-17;2005-09-17;2005-09-17;
JM9009;MS13;2005-09-16;2005-09-16;2005-09-16;
JM9010;MS15;2005-05-12;2005-05-12;2005-05-12;
JM9010;MS13;2005-04-22;2005-04-22;2005-04-22;
JM9010;MS10;2005-02-04;2005-02-04;2005-02-04;
JM9010;MS18;2005-03-18;2005-03-18;2005-03-18;
JM9013;MS10;2005-02-18;2005-02-18;2005-02-18;
JM9015;MS13;2005-05-20;2005-05-20;2005-05-20;
JM9015;MS11;2005-03-04;2005-03-04;2005-03-04;
JM9015;MS18;2005-03-18;2005-03-18;2005-03-18;
JM9016;MS13;2005-05-20;2005-05-20;2005-05-20;
JM9016;MS18;2005-02-25;2005-02-25;2005-02-25;
JM9019;MS05;2004-10-28;2004-10-28;2004-10-28;
JM9022;MS13;2005-05-27;2005-05-27;2005-05-27;
JM9022;MS10;2005-03-04;2005-03-04;2005-03-04;
JM9022;MS18;2005-05-06;2005-05-06;2005-05-06;
JM9025;MS15;2005-05-26;2005-05-27;2005-05-26;
JM9025;MS10;2005-01-14;2005-01-14;2005-01-14;
JM9025;MS11;2005-01-23;2005-01-23;2005-01-23;
JM9025;MS18;2005-03-23;2005-03-23;2005-03-23;
JM9035;MS05;2004-11-12;2004-11-12;2004-11-12;
JM9037;MS10;2005-03-18;2005-03-18;2005-03-18;
JM9037;MS18;2005-03-30;2005-03-30;2005-03-30;
JM9049;MS05;2004-11-12;2004-11-12;2004-11-12;
JM9055;MS15;2005-07-07;2005-07-07;2005-07-07;
JM9055;MS05;2004-10-26;2004-10-26;2004-10-26;
JM9055;MS10;2005-03-18;2005-03-18;2005-03-18;
JM9056;MS15;2005-06-14;2005-06-14;2005-06-14;
JM9056;MS13;2005-05-20;2005-05-20;2005-05-20;
JM9056;MS10;2005-02-11;2005-02-11;2005-02-11;
